iter	Passed	Remaining
906	1273	130
907	1274	129
908	1275	127
909	1276	126
910	1278	124
911	1279	123
912	1280	122
913	1281	120
914	1283	119
915	1284	117
916	1285	116
917	1286	114
918	1287	113
919	1289	112
920	1290	110
921	1291	109
922	1292	107
923	1293	106
924	1295	105
925	1296	103
926	1297	102
927	1298	100
928	1299	99
929	1301	97
930	1302	96
931	1303	95
932	1305	93
933	1306	92
934	1308	90
935	1309	89
936	1311	88
937	1312	86
938	1313	85
939	1315	83
940	1317	82
941	1318	81
942	1320	79
943	1321	78
944	1323	77
945	1325	75
946	1326	74
947	1328	72
948	1329	71
949	1331	70
950	1332	68
951	1334	67
952	1335	65
953	1337	64
954	1339	63
955	1340	61
956	1341	60
957	1343	58
958	1344	57
959	1346	56
960	1347	54
961	1349	53
962	1350	51
963	1352	50
964	1353	49
965	1355	47
966	1356	46
967	1358	44
968	1359	43
969	1360	42
970	1362	40
971	1363	39
972	1365	37
973	1366	36
974	1368	35
975	1369	33
976	1371	32
977	1372	30
978	1374	29
979	1375	28
980	1377	26
981	1378	25
982	1380	23
983	1381	22
984	1383	21
985	1384	19
986	1386	18
987	1388	16
988	1389	15
989	1391	14
990	1392	12
991	1395	11
992	1396	9
993	1398	8
994	1399	7
995	1401	5
996	1402	4
997	1404	2
998	1405	1
999	1407	0
